	TCGA.BF.A1PX	TCGA.EB.A431	TCGA.EB.A44N	TCGA.EB.A51B	TCGA.FS.A1ZE	TCGA.D9.A6EC	TCGA.FS.A1Z0	TCGA.BF.AAP6	TCGA.BF.AAP8	TCGA.EB.A1NK	TCGA.EB.A3HV	TCGA.EB.A4XL	TCGA.EB.A6R0	TCGA.FR.A728	TCGA.FS.A1ZA	TCGA.FS.A1ZN	TCGA.GF.A769	TCGA.D3.A8GK	TCGA.DA.A1I5	TCGA.DA.A1IA	TCGA.ER.A2ND	TCGA.FS.A1YY	TCGA.GN.A4U3	TCGA.YD.A89C
PLIN4|729359	78	28	61	10	1153	8	107	50	68	15	83	22	54	21	386	15	29	30	8	69	89	1053	9	12
PLXDC2|84898	958	78	751	58	247	164	547	161	81	502	1156	370	320	521	320	329	89	19	619	27	436	949	18	18
PLXNA2|5362	2419	358	1236	204	977	2724	3364	4415	2852	1198	2606	1855	926	788	642	1573	6944	878	1392	659	305	14346	14212	1719
PLXNA3|55558	752	873	720	2204	1915	1432	1377	1713	970	4258	2244	1845	429	4205	2441	1736	1878	865	1495	2006	2060	3217	2838	3573
PMS1|5378	395	624	503	801	1068	892	1277	834	582	625	166	608	659	420	1612	1072	1239	299	758	44	479	582	1042	1323
PNPLA1|285848	159	1	319	3	3	1	2	1	0	81	446	132	6	3	6	90	0	0	0	0	3	2	4	2
PPP2R2D|55844	1496	1157	521	742	1530	960	1119	847	1164	1929	822	1133	993	1075	1243	817	1094	1122	914	700	2395	1249	819	1558
PPY2|23614	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL23AP64|649946	3	5	3	13	3	0	4	40	3	0	0	4	20	10	13	18	9	3	0	0	1	9	5	4
RPL4|6124	74790	70476	41616	93691	135484	35091	79529	53876	110118	93012	92388	113078	52430	56420	173118	95411	114132	104427	70403	47808	136521	115820	105589	189948
RPS25|6230	16933	4830	7354	11681	12908	8416	11074	26096	30227	21889	12723	12896	15684	14809	20161	18396	23379	22989	16037	13481	22065	22993	17014	40365
RPSAP52|204010	3	6	7	5	26	106	70	1	0	1	43	4	7	65	1	25	44	22	67	3	9	0	3	252
SCN1B|6324	1352	375	258	354	163	2036	685	290	355	344	790	434	333	462	148	4627	743	51	285	231	655	619	126	96
SCUBE1|80274	125	696	4	2	2	2	16	26	41	76	115	7	6	8	5	6	1	4	26	6	190	6	3	1
SFRS13A|10772	2574	3392	2819	5220	4449	3349	5898	4566	2274	2127	1296	3698	4928	2279	4703	5149	4184	2396	3407	706	2678	3344	5961	4213
SFXN3|81855	4658	4693	2385	5979	8024	5419	2245	5297	4659	12683	4759	2971	3009	6836	8014	3321	5186	2784	3270	5479	5265	10166	3829	2923
SLC16A10|117247	295	71	232	300	66	149	20	195	38	98	252	449	943	82	58	130	49	93	617	111	97	684	14	18
SLC1A3|6507	1260	97	671	60	106	1311	2826	1079	103	1698	567	885	3996	486	380	113	389	22	2259	230	435	365	1253	31
SLC8A3|6547	68	1	7	0	3	2	98	0	0	1	1	4	2	2	6	1	3	0	5	1	0	7	0	0
